% Measurement file generated: 30-Jul-2007

[Name]
HynneGlycolysisModel_Reference experiment

[Notes]
Insilico experiment measurements
================================
Model notes:
------------
Full-scale model of glycolysis in Saccharomyces cerevisiae                                                                             
F. Hynne, S. Dano, and PG, Sorensen                                                                                                    
Biophysical Chemistry 94 (2001) 121-163                                                                                                
                                                                                                                                       
Time units: minutes                                                                                                                    
Species units: mM                                                                                                                      
                                                                                                                                       
Initialconditions do not give a steady-state, but a state-that allows                                                                  
to see the oscillations when simulating.

Experiment notes:
-----------------
Reference experiment for Hynne model that is used to generate in-silico 
measurement data that the reduced model should be able to reproduce.

Pretty complicated experiment definition ... :)

[Components]
time,Glcx,Glc,ATP,G6P,ADP,F6P,FBP,GAP,DHAP,NADplus,BPG,NADH,PEP,Pyr,ACA,EtOH,EtOHx,Glyc,Glycx,ACAx,CNxminus,AMP
4.300000,1.244479,0.408116,2.102577,4.148496,1.498490,0.484537,4.454471,0.112718,2.887775,0.652693,0.000267,0.327307,0.039503,6.602985,1.448274,19.059354,16.298701,4.103177,1.647506,1.259384,5.211879,0.328933
4.400000,1.244479,0.408094,2.102672,4.148708,1.498435,0.484565,4.454202,0.112715,2.887694,0.652706,0.000267,0.327294,0.039503,6.602967,1.448286,19.059338,16.298701,4.103178,1.647506,1.259384,5.211879,0.328893
4.500000,1.244479,0.408080,2.102637,4.148836,1.498456,0.484578,4.453944,0.112711,2.887606,0.652713,0.000267,0.327287,0.039503,6.602914,1.448294,19.059325,16.298701,4.103159,1.647506,1.259385,5.211879,0.328907
4.600000,1.244479,0.408088,2.102494,4.148759,1.498540,0.484562,4.453930,0.112711,2.887591,0.652706,0.000267,0.327294,0.039503,6.602869,1.448291,19.059325,16.298700,4.103136,1.647506,1.259385,5.211879,0.328966
4.700000,1.244479,0.408111,2.102365,4.148534,1.498615,0.484530,4.454186,0.112715,2.887665,0.652691,0.000267,0.327309,0.039503,6.602874,1.448279,19.059340,16.298700,4.103130,1.647506,1.259386,5.211879,0.329020
4.800000,1.244479,0.408130,2.102366,4.148352,1.498614,0.484510,4.454502,0.112719,2.887769,0.652681,0.000267,0.327319,0.039503,6.602928,1.448268,19.059358,16.298700,4.103147,1.647506,1.259385,5.211879,0.329019
4.900000,1.244479,0.408127,2.102505,4.148381,1.498532,0.484520,4.454596,0.112720,2.887811,0.652685,0.000267,0.327315,0.039503,6.602985,1.448268,19.059362,16.298701,4.103173,1.647506,1.259385,5.211879,0.328962
5.000000,1.244479,0.408104,2.102666,4.148606,1.498438,0.484553,4.454373,0.112717,2.887750,0.652700,0.000267,0.327300,0.039503,6.602995,1.448280,19.059348,16.298701,4.103186,1.647506,1.259384,5.211879,0.328896
5.100000,1.244479,0.408080,2.102705,4.148839,1.498416,0.484582,4.454009,0.112712,2.887633,0.652714,0.000267,0.327286,0.039503,6.602945,1.448294,19.059328,16.298701,4.103173,1.647506,1.259385,5.211879,0.328879
5.200000,1.244479,0.408076,2.102581,4.148872,1.498489,0.484579,4.453823,0.112710,2.887562,0.652714,0.000267,0.327286,0.039503,6.602877,1.448297,19.059319,16.298700,4.103144,1.647506,1.259385,5.211879,0.328930
5.300000,1.244479,0.408098,2.102393,4.148661,1.498599,0.484546,4.453995,0.112712,2.887605,0.652699,0.000267,0.327301,0.039503,6.602850,1.448287,19.059330,16.298700,4.103124,1.647506,1.259386,5.211879,0.329008
5.400000,1.244479,0.408127,2.102307,4.148382,1.498649,0.484510,4.454390,0.112718,2.887728,0.652682,0.000267,0.327318,0.039503,6.602891,1.448270,19.059352,16.298700,4.103132,1.647506,1.259386,5.211879,0.329044
5.500000,1.244479,0.408138,2.102406,4.148278,1.498590,0.484504,4.454671,0.112721,2.887828,0.652678,0.000267,0.327322,0.039503,6.602968,1.448263,19.059367,16.298700,4.103162,1.647506,1.259385,5.211879,0.329004
5.600000,1.244479,0.408120,2.102613,4.148457,1.498469,0.484534,4.454576,0.112720,2.887812,0.652691,0.000267,0.327309,0.039503,6.603013,1.448271,19.059360,16.298701,4.103188,1.647506,1.259384,5.211879,0.328918
5.700000,1.244479,0.408087,2.102749,4.148773,1.498390,0.484576,4.454170,0.112714,2.887689,0.652711,0.000267,0.327289,0.039503,6.602985,1.448289,19.059336,16.298701,4.103188,1.647506,1.259384,5.211879,0.328861
5.800000,1.244479,0.408068,2.102688,4.148953,1.498426,0.484593,4.453793,0.112709,2.887561,0.652720,0.000267,0.327280,0.039502,6.602903,1.448301,19.059316,16.298701,4.103159,1.647506,1.259385,5.211879,0.328886
5.900000,1.244479,0.408080,2.102473,4.148829,1.498553,0.484568,4.453787,0.112709,2.887542,0.652709,0.000267,0.327291,0.039503,6.602838,1.448296,19.059318,16.298700,4.103126,1.647506,1.259386,5.211879,0.328974
6.000000,1.244479,0.408115,2.102285,4.148488,1.498662,0.484521,4.454182,0.112715,2.887658,0.652687,0.000267,0.327313,0.039503,6.602849,1.448277,19.059341,16.298700,4.103118,1.647506,1.259386,5.211879,0.329053
6.100000,1.244479,0.408143,2.102296,4.148226,1.498655,0.484492,4.454647,0.112721,2.887812,0.652673,0.000267,0.327327,0.039504,6.602931,1.448261,19.059366,16.298700,4.103144,1.647506,1.259385,5.211879,0.329049
6.200000,1.244479,0.408138,2.102508,4.148281,1.498530,0.484509,4.454773,0.112723,2.887869,0.652680,0.000267,0.327320,0.039504,6.603015,1.448261,19.059371,16.298701,4.103183,1.647506,1.259384,5.211879,0.328962
6.300000,1.244479,0.408102,2.102744,4.148625,1.498392,0.484560,4.454420,0.112718,2.887771,0.652703,0.000267,0.327297,0.039503,6.603026,1.448280,19.059350,16.298701,4.103200,1.647506,1.259384,5.211879,0.328864
6.400000,1.244479,0.408067,2.102794,4.148967,1.498364,0.484600,4.453880,0.112710,2.887597,0.652723,0.000267,0.327277,0.039502,6.602949,1.448300,19.059320,16.298701,4.103180,1.647506,1.259384,5.211879,0.328842
6.500000,1.244479,0.408063,2.102600,4.149000,1.498478,0.484594,4.453622,0.112707,2.887498,0.652721,0.000267,0.327279,0.039502,6.602848,1.448305,19.059307,16.298700,4.103136,1.647506,1.259385,5.211879,0.328922
6.600000,1.244479,0.408096,2.102323,4.148677,1.498641,0.484544,4.453894,0.112711,2.887566,0.652698,0.000267,0.327302,0.039503,6.602812,1.448289,19.059325,16.298700,4.103108,1.647506,1.259386,5.211879,0.329037
6.700000,1.244479,0.408139,2.102203,4.148262,1.498710,0.484491,4.454490,0.112719,2.887753,0.652673,0.000267,0.327327,0.039503,6.602877,1.448264,19.059359,16.298700,4.103121,1.647506,1.259386,5.211879,0.329087
6.800000,1.244479,0.408154,2.102360,4.148124,1.498617,0.484484,4.454892,0.112724,2.887897,0.652668,0.000267,0.327332,0.039504,6.602992,1.448254,19.059379,16.298700,4.103166,1.647506,1.259385,5.211879,0.329023
6.900000,1.244479,0.408126,2.102670,4.148401,1.498435,0.484531,4.454731,0.112722,2.887868,0.652689,0.000267,0.327311,0.039503,6.603056,1.448267,19.059368,16.298701,4.103205,1.647506,1.259384,5.211879,0.328895
7.000000,1.244479,0.408077,2.102864,4.148875,1.498322,0.484594,4.454111,0.112713,2.887678,0.652719,0.000267,0.327281,0.039503,6.603009,1.448294,19.059332,16.298702,4.103202,1.647506,1.259384,5.211879,0.328814
7.100000,1.244479,0.408049,2.102763,4.149132,1.498382,0.484617,4.453562,0.112706,2.887491,0.652731,0.000267,0.327269,0.039502,6.602886,1.448311,19.059303,16.298701,4.103158,1.647506,1.259385,5.211879,0.328854
7.200000,1.244479,0.408070,2.102435,4.148925,1.498575,0.484577,4.453581,0.112707,2.887472,0.652714,0.000267,0.327286,0.039502,6.602792,1.448303,19.059307,16.298700,4.103109,1.647506,1.259386,5.211879,0.328989
7.300000,1.244478,0.408123,2.102163,4.148415,1.498734,0.484506,4.454184,0.112715,2.887649,0.652681,0.000267,0.327319,0.039503,6.602814,1.448274,19.059342,16.298699,4.103099,1.647506,1.259386,5.211879,0.329103
7.400000,1.244479,0.408163,2.102193,4.148035,1.498715,0.484465,4.454872,0.112724,2.887878,0.652660,0.000267,0.327340,0.039504,6.602938,1.448250,19.059380,16.298700,4.103140,1.647506,1.259385,5.211879,0.329092
7.500000,1.244479,0.408153,2.102518,4.148139,1.498524,0.484494,4.455028,0.112726,2.887954,0.652672,0.000267,0.327328,0.039504,6.603061,1.448253,19.059385,16.298701,4.103198,1.647506,1.259384,5.211879,0.328958
7.600000,1.244479,0.408099,2.102864,4.148659,1.498321,0.484570,4.454485,0.112718,2.887802,0.652707,0.000267,0.327293,0.039503,6.603072,1.448280,19.059352,16.298702,4.103222,1.647506,1.259383,5.211879,0.328814
7.700000,1.244479,0.408047,2.102923,4.149160,1.498288,0.484629,4.453679,0.112707,2.887541,0.652736,0.000267,0.327264,0.039502,6.602953,1.448311,19.059308,16.298701,4.103189,1.647506,1.259384,5.211879,0.328788
7.800000,1.244479,0.408044,2.102619,4.149179,1.498468,0.484615,4.453331,0.112703,2.887403,0.652731,0.000267,0.327269,0.039502,6.602804,1.448316,19.059291,16.298700,4.103124,1.647506,1.259386,5.211879,0.328913
7.900000,1.244478,0.408097,2.102207,4.148659,1.498709,0.484536,4.453806,0.112710,2.887528,0.652695,0.000267,0.327305,0.039503,6.602762,1.448289,19.059321,16.298699,4.103086,1.647506,1.259386,5.211879,0.329084
8.000000,1.244478,0.408159,2.102078,4.148071,1.498783,0.484464,4.454691,0.112722,2.887810,0.652660,0.000267,0.327340,0.039504,6.602874,1.448254,19.059371,16.298699,4.103113,1.647506,1.259386,5.211879,0.329139
8.100000,1.244479,0.408171,2.102356,4.147962,1.498619,0.484466,4.455169,0.112728,2.887988,0.652659,0.000267,0.327341,0.039504,6.603037,1.448244,19.059394,16.298701,4.103180,1.647506,1.259385,5.211879,0.329025
8.200000,1.244479,0.408122,2.102793,4.148444,1.498363,0.484542,4.454785,0.112722,2.887895,0.652694,0.000267,0.327306,0.039503,6.603102,1.448268,19.059370,16.298702,4.103227,1.647506,1.259383,5.211879,0.328844
8.300000,1.244479,0.408055,2.102985,4.149080,1.498252,0.484623,4.453880,0.112710,2.887612,0.652732,0.000267,0.327268,0.039502,6.603005,1.448305,19.059318,16.298702,4.103209,1.647506,1.259384,5.211879,0.328763
8.400000,1.244479,0.408034,2.102746,4.149282,1.498393,0.484633,4.453284,0.112702,2.887398,0.652739,0.000267,0.327261,0.039502,6.602834,1.448321,19.059288,16.298701,4.103141,1.647506,1.259385,5.211879,0.328861
8.500000,1.244478,0.408077,2.102292,4.148852,1.498659,0.484562,4.453560,0.112707,2.887454,0.652707,0.000267,0.327293,0.039502,6.602746,1.448300,19.059307,16.298699,4.103086,1.647506,1.259386,5.211879,0.329049
8.600000,1.244478,0.408147,2.102040,4.148177,1.498806,0.484473,4.454469,0.112719,2.887734,0.652665,0.000267,0.327335,0.039503,6.602825,1.448261,19.059359,16.298699,4.103095,1.647506,1.259386,5.211879,0.329154
8.700000,1.244479,0.408179,2.102229,4.147880,1.498693,0.484450,4.455178,0.112728,2.887981,0.652652,0.000267,0.327348,0.039504,6.603001,1.448240,19.059396,16.298700,4.103161,1.647506,1.259385,5.211879,0.329077
8.800000,1.244479,0.408142,2.102693,4.148247,1.498421,0.484515,4.455023,0.112726,2.887965,0.652681,0.000267,0.327319,0.039504,6.603112,1.448257,19.059383,16.298702,4.103224,1.647506,1.259383,5.211879,0.328886
8.900000,1.244479,0.408069,2.103005,4.148949,1.498239,0.484609,4.454129,0.112713,2.887695,0.652725,0.000267,0.327275,0.039503,6.603053,1.448296,19.059332,16.298702,4.103225,1.647506,1.259383,5.211879,0.328755
9.000000,1.244479,0.408028,2.102872,4.149340,1.498319,0.484646,4.453313,0.112703,2.887417,0.652745,0.000267,0.327255,0.039502,6.602876,1.448323,19.059288,16.298701,4.103162,1.647506,1.259385,5.211879,0.328809
9.100000,1.244478,0.408057,2.102407,4.149049,1.498592,0.484590,4.453338,0.112703,2.887390,0.652720,0.000267,0.327280,0.039502,6.602742,1.448311,19.059294,16.298700,4.103092,1.647506,1.259386,5.211879,0.329001
9.200000,1.244478,0.408131,2.102037,4.148332,1.498808,0.484491,4.454197,0.112715,2.887644,0.652674,0.000267,0.327326,0.039503,6.602778,1.448271,19.059344,16.298699,4.103081,1.647506,1.259387,5.211879,0.329155
9.300000,1.244479,0.408182,2.102109,4.147849,1.498764,0.484440,4.455108,0.112727,2.887949,0.652649,0.000267,0.327351,0.039504,6.602953,1.448240,19.059393,16.298700,4.103139,1.647506,1.259385,5.211879,0.329127
9.400000,1.244479,0.408162,2.102564,4.148053,1.498497,0.484487,4.455225,0.112729,2.888022,0.652668,0.000267,0.327332,0.039504,6.603108,1.448247,19.059396,16.298701,4.103215,1.647506,1.259384,5.211879,0.328939
9.500000,1.244479,0.408088,2.102988,4.148771,1.498249,0.484589,4.454420,0.112717,2.887789,0.652715,0.000267,0.327285,0.039503,6.603097,1.448285,19.059348,16.298702,4.103237,1.647506,1.259383,5.211879,0.328763
9.600000,1.244479,0.408028,2.102985,4.149344,1.498252,0.484652,4.453424,0.112704,2.887462,0.652747,0.000267,0.327253,0.039502,6.602928,1.448321,19.059293,16.298702,4.103185,1.647506,1.259384,5.211879,0.328763
9.700000,1.244479,0.408038,2.102548,4.149234,1.498510,0.484618,4.453161,0.112701,2.887342,0.652733,0.000267,0.327267,0.039502,6.602754,1.448320,19.059283,16.298700,4.103104,1.647506,1.259386,5.211879,0.328943
9.800000,1.244478,0.408110,2.102075,4.148531,1.498786,0.484515,4.453891,0.112711,2.887546,0.652686,0.000267,0.327314,0.039503,6.602737,1.448283,19.059327,16.298699,4.103070,1.647506,1.259387,5.211879,0.329139
9.900000,1.244478,0.408179,2.102007,4.147876,1.498824,0.484438,4.454955,0.112725,2.887891,0.652648,0.000267,0.327352,0.039504,6.602897,1.448243,19.059386,16.298699,4.103116,1.647506,1.259386,5.211879,0.329169
10.000000,1.553067,0.573064,2.100013,4.200046,1.499993,0.490006,4.639941,0.114999,2.949984,0.650003,0.000270,0.329997,0.040000,8.699937,1.481537,19.237910,16.451410,4.195995,1.684783,1.288364,5.203581,0.329994
10.100000,1.553067,0.573067,2.099986,4.200014,1.500009,0.490001,4.639969,0.115000,2.949991,0.650000,0.000270,0.330000,0.040000,8.699934,1.481535,19.237914,16.451410,4.195992,1.684783,1.288364,5.203581,0.330005
10.200000,1.553067,0.573071,2.099976,4.199980,1.500014,0.489997,4.640019,0.115000,2.950006,0.649998,0.000270,0.330002,0.040000,8.699939,1.481533,19.237917,16.451410,4.195993,1.684783,1.288364,5.203581,0.330009
10.300000,1.553067,0.573073,2.099986,4.199967,1.500008,0.489996,4.640051,0.115001,2.950017,0.649998,0.000270,0.330002,0.040000,8.699948,1.481532,19.237919,16.451410,4.195997,1.684783,1.288364,5.203581,0.330005
10.400000,1.553067,0.573071,2.100006,4.199981,1.499997,0.489998,4.640046,0.115001,2.950017,0.649999,0.000270,0.330001,0.040000,8.699953,1.481533,19.237919,16.451410,4.195999,1.684783,1.288364,5.203581,0.329997
10.500000,1.553067,0.573068,2.100020,4.200008,1.499989,0.490002,4.640013,0.115000,2.950008,0.650001,0.000270,0.329999,0.040000,8.699951,1.481534,19.237917,16.451410,4.196000,1.684783,1.288364,5.203581,0.329991
10.600000,1.553067,0.573066,2.100020,4.200028,1.499989,0.490004,4.639978,0.115000,2.949996,0.650002,0.000270,0.329998,0.040000,8.699946,1.481536,19.237915,16.451410,4.195998,1.684783,1.288364,5.203581,0.329991
10.700000,1.553067,0.573066,2.100007,4.200029,1.499997,0.490004,4.639964,0.114999,2.949991,0.650002,0.000270,0.329998,0.040000,8.699939,1.481536,19.237914,16.451410,4.195995,1.684783,1.288364,5.203581,0.329997
10.800000,1.553067,0.573068,2.099990,4.200010,1.500006,0.490001,4.639980,0.115000,2.949995,0.650000,0.000270,0.330000,0.040000,8.699937,1.481535,19.237915,16.451410,4.195993,1.684783,1.288364,5.203581,0.330004
10.900000,1.553067,0.573070,2.099983,4.199988,1.500011,0.489998,4.640011,0.115000,2.950004,0.649999,0.000270,0.330001,0.040000,8.699940,1.481534,19.237917,16.451410,4.195994,1.684783,1.288364,5.203581,0.330007
11.000000,1.553067,0.573072,2.099988,4.199977,1.500008,0.489997,4.640035,0.115000,2.950012,0.649998,0.000270,0.330002,0.040000,8.699946,1.481533,19.237918,16.451410,4.195996,1.684783,1.288364,5.203581,0.330005
11.100000,1.553067,0.573071,2.100001,4.199984,1.500000,0.489998,4.640036,0.115000,2.950014,0.649999,0.000270,0.330001,0.040000,8.699950,1.481533,19.237918,16.451410,4.195998,1.684783,1.288364,5.203581,0.329999
11.200000,1.553067,0.573069,2.100012,4.200002,1.499993,0.490001,4.640016,0.115000,2.950008,0.650000,0.000270,0.330000,0.040000,8.699950,1.481534,19.237917,16.451410,4.195999,1.684783,1.288364,5.203581,0.329995
11.300000,1.553067,0.573067,2.100015,4.200018,1.499992,0.490003,4.639990,0.115000,2.950000,0.650001,0.000270,0.329999,0.040000,8.699946,1.481535,19.237916,16.451410,4.195998,1.684783,1.288364,5.203581,0.329994
